name	paper	last	bid	offer	change	open	low	high	prev_price	volume	bid_depth_total	offer_depth_total
GC Rieber Shipping	RISH	0	27.	35.	0	0	0	0	33	0	2000	22600
Ganger Rolf	GRO	0	108.	109.	0	0	0	0	109	0	16238	10645
Gjensidige Forsikring 	GJF	74.5	74.4	74.5	0.1	74.5	74.2	74.55	74.4	29600	44379	53715
Golden Ocean Group	GOGL	4.03	4.03	4.04	0.05	4.	3.95	4.03	3.98	229470	489033	389647
Goodtech	GOD	13.2	13.3	13.4	-0.1	13.2	13.2	13.2	13.3	400	28135	64821
Grieg Seafood	GSF	9.6	9.6	9.84	-0.05	9.6	9.6	9.6	9.65	2730	54566	75346
Gyldendal	GYL	185.	185.	195.	7.	185.	185.	185.	178	134	401	118
Hafslund ser. A	HNA	46.2	46.5	47.6	0.2	47.8	46.2	47.8	46	260	5450	8252
Hafslund ser. B	HNB	47.	46.5	47.6	0.4	47.	46.2	47.	46.6	10980	5485	3763
Havila Shipping	HAVI	33.	32.6	33.9	0.5	33.	33.	33.	32.5	800	4150	2587
Helgeland Sparebank	HELG	0	29.	29.9	0	0	0	0	29	0	3133	6238
Hexagon Composites	HEX	0	4.02	4.1	0	0	0	0	4.09	0	33000	174235
Hol Sparebank	HOLG	0	70.	79.75	0	0	0	0	70	0	1600	850
Hurtigruten	HRG	3.35	3.3	3.35	0.05	3.28	3.28	3.36	3.3	6483	75300	247588
Höegh LNG Holdings	HLNG	47.4	47.	47.4	2.2	46.9	46.9	47.8	45.2	73528	9771	25837
Høland og Setskog Sparebank	HSPG	0	91.75	98.	0	0	0	0	98	0	550	1197
I.M. Skaugen	IMSK	0	23.7	24.4	0	0	0	0	24.5	0	2200	6668
IGE Resources 	IGE	0.41	0.4	0.42	0.	0.43	0.41	0.43	0.41	211300	852654	2058035
Imarex	IMAREX	0	3.85	4.1	0	0	0	0	3.8	0	17600	6450
Indre Sogn Sparebank	ISSG	0	44.1	45.1	0	0	0	0	44.1	0	3940	2050
Infratek	INFRA	0	18.4	19.1	0	0	0	0	18.8	0	2200	10150
InterOil Exploration and Production	IOX	8.75	8.62	8.75	0.04	8.75	8.75	8.75	8.71	100	21575	26269
Intex Resources	ITX	0	4.25	4.45	0	0	0	0	4.26	400000	63990	49915
Itera 	ITE	0	2.25	2.39	0	0	0	0	2.4	0	101000	221814
Jason Shipping	JSHIP	0	1.55	1.74	0	0	0	0	1.74	0	18000	32916
Jinhui Shipping and Transportation	JIN	0	8.11	8.34	0	0	0	0	8.3	0	24420	37757
Kitron	KIT	1.85	1.84	1.85	-0.03	1.85	1.85	1.85	1.88	750	78000	135585
Klepp Sparebank	KLEG	51.	51.	51.5	0.	51.	51.	51.	51	800	2245	3716
Kongsberg Automotive Holding	KOA	1.47	1.47	1.48	0.	1.49	1.47	1.49	1.47	90714	823955	2272303
Kongsberg Gruppen	KOG	0	113.5	115.	0	0	0	0	114	0	12497	13679
Kværner	KVAER	14.4	14.4	14.45	0.15	14.25	14.25	14.4	14.25	21084	164781	135818
Lerøy Seafood Group	LSG	117.5	116.5	117.5	2.	116.5	116.5	117.5	115.5	1026	11001	4760
Marine Harvest	MHG	4.53	4.528	4.534	0.042	4.476	4.44	4.55	4.488	2274794	1865506	2744196
Medistim	MEDI	0	16.1	18.	0	0	0	0	18	0	1600	16290
Melhus Sparebank	MELG	144.	144.	144.5	4.	144.	144.	144.	140	75	325	480
Morpol 	MORPOL	8.28	8.28	8.29	0.28	8.28	8.28	8.29	8	29845	32562	43134
Namsos Trafikkselskap	NAM	50.25	51.	80.	-12.75	53.75	50.25	53.75	63	400	369	340
Navamedic	NAVA	0	10.5	11.2	0	0	0	0	11	0	18900	31665
Nes Prestegjelds Sparebank	NESG	0	53.	55.	0	0	0	0	52	0	2060	2550
Nio	NIO	0	3.4	3.6	0	0	0	0	3.6	0	8079	53920
Norda	NORD	6.8	6.25	6.8	0.	6.8	6.8	6.8	6.8	10	28942	16937
Nordic Semiconductor	NOD	15.9	15.8	15.9	0.1	15.7	15.7	15.9	15.8	7166	43677	24388
Norse Energy Corp.	NEC	2.35	2.35	2.4	-0.04	2.36	2.35	2.36	2.39	17500	48500	294810
Norsk Hydro	NHY	25.07	25.05	25.08	0.24	24.8	24.67	25.09	24.83	459990	296650	810742
Norske Skogindustrier	NSG	4.92	4.91	4.92	0.07	4.77	4.77	4.93	4.85	58831	236421	459698
Northern Logistic Property	NLPR	24.	24.2	29.5	0.5	24.5	24.	24.5	23.5	4500	22201	3777
Northern Offshore	NOF	11.1	11.	11.2	-0.1	11.2	11.1	11.2	11.2	1011	21500	16774
Northland Resources	NAUR	3.73	3.73	3.74	0.	3.78	3.68	3.79	3.73	487207	496854	435912
Norway Pelagic	NPEL	0	20.3	21.1	0	0	0	0	21	0	2100	2000
Norway Royal Salmon 	NRS	0	12.85	13.3	0	0	0	0	13	0	15850	24333
Norwegian Air Shuttle	NAS	111.5	111.	111.5	3.5	108.5	108.5	112.5	108	84006	54803	81150
Norwegian Car Carriers	NOCC	2.	1.86	2.15	0.15	2.	2.	2.	1.85	25000	16718	25000
Norwegian Energy Company	NOR	5.33	5.36	5.38	0.12	5.27	5.27	5.42	5.21	67021	204794	250215
Norwegian Property	NPRO	8.46	8.4	8.46	0.09	8.5	8.46	8.5	8.37	1251	26372	70203
OB TEST INSTRUMENT 1	OBTE01	0	0	0	0	0	0	0	0	0	0	0
OB TEST INSTRUMENT 10	OBTE10	0	0	0	0	0	0	0	0	0	0	0
OB TEST INSTRUMENT 2	OBTE02	0	0	0	0	0	0	0	0	0	0	0
OB TEST INSTRUMENT 3	OBTE03	0	0	0	0	0	0	0	0	0	0	0
OB TEST INSTRUMENT 4	OBTE04	0	0	0	0	0	0	0	0	0	0	0
OB TEST INSTRUMENT 5	OBTE05	0	0	0	0	0	0	0	0	0	0	0
OB TEST INSTRUMENT 6	OBTE06	0	0	0	0	0	0	0	0	0	0	0
OB TEST INSTRUMENT 7	OBTE07	0	0	0	0	0	0	0	0	0	0	0
OB TEST INSTRUMENT 8	OBTE08	0	0	0	0	0	0	0	0	0	0	0
OB TEST INSTRUMENT 9	OBTE09	0	0	0	0	0	0	0	0	0	0	0
Oceanteam Shipping	OTS	3.45	3.5	4.03	0.08	3.45	3.45	3.45	3.37	1600	32655	15600
Odfjell ser. A	ODF	0	24.6	25.2	0	0	0	0	25	0	4621	2625
Odfjell ser. B	ODFB	0	23.9	24.8	0	0	0	0	24.7	0	2474	7613
Olav Thon Eiendomsselskap	OLT	850.	845.	850.	0.	850.	850.	850.	850	20	635	1876
Opera Software	OPERA	36.4	36.4	36.5	1.2	35.6	35.4	36.6	35.2	120433	73870	91297
Orkla	ORK	42.93	42.91	42.95	0.11	42.8	42.68	43.	42.82	155559	97877	110046
PSI Group	PSI	3.62	3.85	3.99	-0.43	3.62	3.62	3.62	4.05	100	65157	66959
Panoro Energy	PEN	3.8	3.78	3.8	0.05	3.75	3.75	3.85	3.75	129625	286544	160166
Petroleum Geo-Services	PGS	88.9	88.8	88.95	0.8	88.	87.7	89.	88.1	282207	80702	95412
Petrolia 	PDR	0.56	0.56	0.59	-0.03	0.56	0.56	0.56	0.59	7600	79400	204724
Photocure	PHO	0	36.9	37.9	0	0	0	0	36.9	0	4011	14870
Polarcus	PLCS	5.45	5.44	5.46	0.1	5.3	5.3	5.48	5.35	326684	606728	669508
Polaris Media	POL	0	26.	28.4	0	0	0	0	28.5	0	30356	14170
Pronova BioPharma	PRON	9.87	9.77	9.88	0.16	9.79	9.7	9.87	9.71	10544	4456	95819
Prosafe	PRS	44.71	44.72	44.76	0.43	44.72	44.3	44.83	44.28	29839	63277	55042
Protector Forsikring	PROTCT	12.9	12.2	12.9	0.	12.85	12.85	12.9	12.9	4000	10500	32572
Q-Free	QFR	17.5	17.6	18.4	0.	17.2	17.2	17.5	17.5	978	14659	51040
Questerre Energy Corporation	QEC	3.93	3.92	3.99	0.02	3.91	3.91	3.96	3.91	31787	164519	179181
Renewable Energy Corporation	REC	1.762	1.768	1.781	0.028	1.75	1.721	1.81	1.734	3161001	1178721	1634858
Repant	REPANT	0	1.65	1.73	0	0	0	0	1.7	0	39556	103261
Reservoir Exploration Technology	RXT	1.2	1.15	1.19	0.	1.2	1.2	1.2	1.2	5000	162768	556754
Rieber & Søn	RIE	65.	65.	65.25	0.	65.	65.	65.	65	7600	563627	222981
Rocksource	RGT	1.22	1.14	1.22	0.05	1.22	1.22	1.22	1.17	100	250000	201142
Royal Caribbean Cruises	RCL	158.8	158.7	158.9	0.7	158.	156.6	158.8	158.1	125143	35323	82523
SAS AB	SAS-NOK	5.63	5.5	5.62	0.09	5.5	5.5	5.63	5.54	537	96357	157655
SalMar	SALM	36.6	36.1	36.6	0.4	36.2	36.1	36.6	36.2	1119	21661	22518
Sandnes Sparebank	SADG	0	57.5	59.	0	0	0	0	58.5	0	2500	4280
Scana Industrier	SCI	0	1.56	1.59	0	0	0	0	1.59	0	71500	76971
Schibsted	SCH	209.	208.8	209.	1.8	209.	208.	209.9	207.2	14427	19411	19140
SeaBird Exploration	SBX	5.29	5.2	5.29	0.11	5.18	5.18	5.3	5.18	52174	94162	82281
Seadrill	SDRL	241.	240.7	241.	2.7	238.8	238.5	241.6	238.3	177642	51592	55441
Selvaag Bolig 	SBO	0	20.1	20.4	0	0	0	0	20.4	0	7278	41097
Sevan Drilling	SEVDR	6.24	6.23	6.24	0.13	6.1	6.02	6.24	6.11	223583	147352	457399
Sevan Marine	SEVAN	16.6	16.6	16.9	-0.4	17.2	16.5	17.2	17	105120	142659	165491
Siem Offshore	SIOFF	7.85	7.7	7.9	0.05	7.85	7.85	7.85	7.8	1552000	30700	113831
Siem Shipping	SSI	0	37.	44.9	0	0	0	0	44.9	0	3000	1942
SinOceanic Shipping	SINO	0	6.2	6.75	0	0	0	0	6.67	0	3350	43965
Skiens Aktiemølle	SKI	0	85.	93.	0	0	0	0	93.5	0	140	3027
Solstad Offshore	SOFF	84.5	84.5	84.75	-0.5	84.5	84.5	84.5	85	50	1630	9533
Solvang	SOLV	0	16.5	19.	0	0	0	0	18	0	5500	20844
Songa Offshore	SONG	13.38	13.39	13.42	0.01	13.42	13.36	13.54	13.37	207728	125547	394372
SpareBank 1 Buskerud-Vestfold	SBVG	0	29.5	30.	0	0	0	0	29.5	0	3400	2100
SpareBank 1 Nord-Norge	NONG	24.8	24.6	25.	-0.2	24.8	24.5	24.8	25	7052	22206	35753
SpareBank 1 Nøtterøy - Tønsberg	NTSG	0	63.75	70.	0	0	0	0	65	0	1150	1788
SpareBank 1 Ringerike Hadeland	RING	0	108.	114.	0	0	0	0	114	0	915	4031
SpareBank 1 SMN	MING	34.2	34.1	34.2	0.3	33.7	33.7	34.2	33.9	16933	53629	40683
SpareBank 1 SR-Bank	SRBANK	35.6	35.5	35.7	0.3	35.3	35.1	35.6	35.3	21329	60362	24394
SpareBank 1 Østfold Akershus	SOAG	0	67.	69.5	0	0	0	0	68	0	1700	3300
Sparebanken Møre	MORG	0	148.5	149.5	0	0	0	0	149.5	0	2480	4698
Sparebanken Pluss	PLUG	0	100.	117.	0	0	0	0	116	0	350	1395
Sparebanken Vest	SVEG	27.	26.8	27.	-0.1	27.	27.	27.	27.1	3461	7479	40977
Sparebanken Øst	SPOG	29.	29.	30.	0.5	29.	29.	29.	28.5	1730	16573	30656
Spectrum	SPU	0	26.6	27.9	0	0	0	0	27.4	0	8787	19540
Statoil	STL	149.4	149.3	149.4	0.6	148.7	148.	149.5	148.8	571238	411413	432093
Stolt-Nielsen	SNI	109.	105.5	108.5	2.	109.	109.	109.	107	5	54329	13083
Storebrand	STB	24.68	24.64	24.7	0.21	24.51	24.45	24.84	24.47	120007	133666	361472
Storm Real Estate	STORM	0	14.6	14.9	0	0	0	0	14.65	0	19000	55220
Subsea 7	SUBC	135.5	135.4	135.5	2.3	134.7	133.7	135.5	133.2	181756	73073	119392
TGS-NOPEC Geophysical Company	TGS	173.1	172.9	173.1	3.8	169.3	168.9	173.1	169.3	49997	18585	30436
TTS Group	TTS	13.55	13.95	14.75	-1.25	15.	13.55	15.	14.8	1320	27081	45872
Telenor	TEL	105.5	105.5	105.6	-0.4	105.5	105.	105.7	105.9	290839	136333	111907
Telio Holding	TELIO	0	26.5	27.	0	0	0	0	26.5	0	3760	10089
The Scottish Salmon Company	SSC	0	2.52	2.9	0	0	0	0	2.8	0	12000	32800
Tide	TIDE	0	14.95	15.9	0	0	0	0	15.9	0	3477	6230
Tomra Systems	TOM	49.9	49.9	50.	0.	49.5	49.5	50.	49.9	5330	35263	34448
Totens Sparebank	TOTG	0	39.5	40.5	0	0	0	0	40.1	0	3600	6188
Transit Invest	GRR	0.09	0.09	0.1	0.	0.09	0.09	0.09	0.09	25000	306100	552559
Veidekke	VEI	43.3	43.3	43.5	-0.4	43.3	43.3	43.3	43.7	77	13753	38819
Veripos	VPOS	13.25	13.25	13.4	0.15	13.5	13.25	13.5	13.1	8418	36012	34322
Vizrt	VIZ	0	17.7	18.3	0	0	0	0	18.3	0	7760	6186
Voss Veksel- og Landmandsbank	VVL	0	1954.	2099.	0	0	0	0	2050	0	25	70
Wentworth Resources	WRL	3.82	3.73	3.79	0.05	3.77	3.77	3.82	3.77	5170	36933	94221
Wilh. Wilhelmsen 	WWASA	0	45.1	46.5	0	0	0	0	44.8	0	13280	23123
Wilh. Wilhelmsen Holding ser. A	WWI	154.	154.5	158.	-0.5	158.	154.	158.	154.5	166	2034	6681
Wilh. Wilhelmsen Holding ser. B	WWIB	156.5	155.5	156.5	-1.	155.	155.	156.5	157.5	860	1228	1820
Wilson	WILS	0	13.6	0	0	0	0	0	14.5	0	4000	0
XACT Bygg og Eiendom	XACTBYGGEIENDOM	0	82.35	83.25	0	0	0	0	80.55	0	30000	30000
